id	name	brewery_type	address_1	city	state	postal_code	country	latitude	longitude	phone	website_url	source_state	source_state_code
osm:way:827259232	948 Brewing Company Ltd.	micro	541 Kingsview Way SE, Unit 104	Airdrie	Alberta	T4A 0C9	Canada	51.2612994	-113.9973638		http://www.948brewing.ca/	AB	AB
osm:way:815120506	Fitzsimmons Brewing Company	micro	220 East Lake Boulevard NE, Unit 4	Airdrie	Alberta	T4A 2G2	Canada	51.2897049	-113.9909651			AB	AB
osm:node:6783712313	Three Ravens Restaurant & Wine Bar	brewpub	107 Tunnel Mountain Drive, Unit Sally Borden Building, 3rd Floor	Banff	Alberta	T1L 1H5	Canada	51.1717842	-115.5611998		https://www.banffcentre.ca/three-ravens-restaurant-wine-bar	AB	AB
osm:way:1024727096	The Pass Beer Co.	micro	10801 20 Avenue	Blairmore	Alberta	T0K 0E0	Canada	49.6160399	-114.4606175		https://passbeer.ca/	AB	AB
osm:way:338872643	The Place	micro	10801 20 Avenue	Blairmore	Alberta	T0K 0E0	Canada	49.6935065	-112.8389055	14037531100	http://passbeer.ca/	AB	AB
osm:node:9642113322	Delta Brewstilary	micro	27 Burnside Dr	Bragg Creek	Alberta	T0L 0C5	Canada	51.0966124	-114.0038148	15878971731	https://braggcreekdistillers.ca/	AB	AB
osm:way:1034389675	Piston Broke Brewing	micro	350 9 Street East	Brooks	Alberta	T1R 1K6	Canada	50.5662488	-111.8785714		https://www.pistonbrokebrewing.com/	AB	AB
google:ChIJz474nMRxcVMRIHR2dgwpihc	33 Acres Brewing Company Calgary	micro	224 12 Ave SW	Calgary	Alberta	T2R 0H2	Canada	51.04225150000001	-114.0674028		http://33acresbrewing.com/	AB	AB
google:ChIJCyHOv2JxcVMRJRu3_bZeQOE	BSB Brewing	micro	140 10 Ave SW	Calgary	Alberta	T2R 0A3	Canada	51.0436825	-114.0650951		http://www.bottlescrewbill.com/bsb-brewing	AB	AB
google:ChIJPXZwbW1wcVMR-xJz9YVu8cw	Banded Peak Brewing	micro	#119	Calgary	Alberta	T2G 1V1	Canada	51.0228213	-114.0515215		http://www.bandedpeakbrewing.com/	AB	AB
google:ChIJscQRBQdxcVMRjOxKeauuE9Y	Bitter Sisters Brewing Co.	micro	510 Heritage Dr SW	Calgary	Alberta	T2V 0T3	Canada	50.9802241	-114.0757637		http://www.bittersisters.co/	AB	AB
google:ChIJiVqqfB96cVMRJQLJGFq5EJw	Boiling Oar Brewing Company	micro	7930 51 St SE	Calgary	Alberta	T2C 4R2	Canada	50.9816865	-113.959561		http://www.boilingoar.com/	AB	AB
google:ChIJ1XXm-VN7cVMRLPoaPp7Aq24	Bored Brewing Taproom & Clubhouse	micro	1212 9 Ave SE	Calgary	Alberta	T2G 0T1	Canada	51.042172	-114.0359142		https://boredbrewing.xyz/	AB	AB
google:ChIJk4mZ8GxwcVMRCyvUvugcdBY	Born Brewing Co.	micro	414 36 Ave SE #3	Calgary	Alberta	T2G 1W4	Canada	51.0216589	-114.0543515		http://www.bornbrewing.co/	AB	AB
google:ChIJY2Drp2RxcVMRifk4jw8kg0Y	Bow River Brewing	micro	5769 4 St SE #110	Calgary	Alberta	T2H 0P4	Canada	51.002776	-114.0542542		http://www.bowriverbrewing.ca/	AB	AB
google:ChIJ45YoXwBvcVMR13qVqmXAERc	Brewsmith Brewing Company	micro	6311 Bowness Rd NW #110	Calgary	Alberta	T3B 0E5	Canada	51.0849712	-114.1790762		https://www.brewsmithbrewing.ca/	AB	AB
osm:way:569425341	Brewsters	brewpub	11 McKenzie Towne Avenue SE	Calgary	Alberta	T2Z 0S8	Canada	50.9167873	-113.9615548		http://brewsters.ca/	AB	AB
google:ChIJ29OPlM5xcVMR6KIjLwnvpiY	Buffalo 9 Brewing Co.	micro	2801 24a St SW	Calgary	Alberta	T3E 1W4	Canada	51.0297565	-114.11964		https://www.buffalo9brewing.com/	AB	AB
google:ChIJr0Pnjh5xcVMRRziIgLSUyXA	Cabin Brewing Company	micro	505 36 Ave SE	Calgary	Alberta	T2G 1W5	Canada	51.0212065	-114.0535917		http://www.cabinbrewing.ca/	AB	AB
osm:way:1338554246	Citizen Brewing Company	micro	227 35 Avenue NE	Calgary	Alberta	T2E 2K5	Canada	51.0838868	-114.0584341		https://citizenbrewingcompany.com/	AB	AB
